OBJECTID,FID_,Date,Block,Street_or_,Building_C,Tree_Tag_N,Status,Species_Co,Common_Nam,Genus,Species,Ownership,Location_C,DBH,Number_of_,Percentage,Crown_Widt,Total_Heig,Latitude,Longitude,Height_to_,Unbalanced,Reduced_Cr,Weak_Yello,Defoliatio,Dead_Broke,Poor_Branc,Lean,Trunk_Scar,Branch_Sca,Conks,Rot_Cavity,Rot_Cavi_1,Crack,Confined_S,Girdling_R,Recent_Tre,Conflict_w,Conflict_1,Conflict_2,Conflict_3,Conflict_4,Cable_Brac,Comments,Additional,Replacemen,New_Specie,Transparen,locale,subway,sbwy100
2559,2558,5/31/2013,B,Toronto Track & Field,7,674,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,17.3,2,0,9,7.5,43.77819872,-79.50738526,4,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2560,2559,5/31/2013,B,Toronto Track & Field,7,675,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,16,3,0,4,7.5,43.77820776,-79.50734722,3,0,2,0,0,3,3,2,1,1,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2561,2560,5/31/2013,B,Toronto Track & Field,7,676,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,16.5,2,0,12,9.5,43.77822274,-79.50730904,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2562,2561,5/31/2013,B,Toronto Track & Field,7,677,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,15,1,0,0,5,43.77823436,-79.50726864,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2563,2562,5/31/2013,B,Toronto Track & Field,7,678,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,25.5,1,0,16,12,43.77824253,-79.50723687,10,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,out,
2564,2563,5/31/2013,B,Toronto Track & Field,7,679,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,20.5,2,0,15,9,43.77823926,-79.50720539,2,0,3,0,0,2,2,1,1,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,out,
2565,2564,5/31/2013,B,Toronto Track & Field,7,680,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,25,1,0,10,12.5,43.77825817,-79.5071944,7,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,out,
2566,2565,5/31/2013,B,Toronto Track & Field,7,681,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,18.5,1,0,14,9,43.77825383,-79.50715374,8,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,out,
2567,2566,5/31/2013,B,Toronto Track & Field,7,682,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,14.5,1,0,10,7,43.77826898,-79.50714679,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,out,
2568,2567,5/31/2013,B,Toronto Track & Field,7,683,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,25,1,0,11,6,43.77826838,-79.50710077,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,out,
2569,2568,5/31/2013,B,Toronto Track & Field,7,684,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,10.2,2,0,2,5,43.7782843,-79.50707933,1,0,2,0,0,2,0,2,0,1,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,out,
2570,2569,5/31/2013,B,Toronto Track & Field,7,685,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,10.2,2,0,9,6.5,43.77828766,-79.50704505,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,out,
2571,2570,5/31/2013,B,Toronto Track & Field,7,686,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,23,1,0,11,8,43.77829378,-79.50700282,4,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,out,
2971,2970,6/7/2013,B,Calumet College,10,1086,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,n,9.8,1,0,5,14,43.77333559,-79.50992743,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,periph,out,
2979,2978,6/7/2013,B,Calumet College,10,1094,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,n,15,2,0,10,9,43.77383195,-79.51015349,8.5,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Broken branch,,,,0,periph,out,
3014,3013,6/11/2013,B,Bethune Loadg Dock,11,1129,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,n,16.5,2,30,14,10,43.77386807,-79.50972154,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,periph,out,
3015,3014,6/11/2013,B,Bethune Loadg Dock,11,1130,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,n,14,1,0,12,10,43.77381714,-79.50969815,8,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,periph,out,
