TreeID,date,spp,DBH (in),CW (ft),conks,trunk scar,dead/broken branches,poor branch health,comments
1304,06-Nov,appcra,7,18,0,1,0,0,
1283,06-Nov,appcra,4.8,12,0,1,0,0,
1284,06-Nov,appcra,4.9,16,0,1,0,0,
1191,06-Nov,oakred,7.3,24,0,0,1,0,
1338,06-Nov,oakred,8.6,23,0,1,0,0,
1341,06-Nov,oakred,9.5,23,0,0,0,0,
1340,06-Nov,oakred,12.4,28,0,0,0,0,
1326,06-Nov,oakred,3.8,12,0,0,0,0,
916,06-Nov,oakred,4.1,11,0,1,0,0,
912,06-Nov,oakred,4.8,14,0,0,0,0,
939,06-Nov,ginkgo,4.1,9,0,0,0,0,
938,06-Nov,ginkgo,5.4,14,0,0,0,0,
935,06-Nov,ginkgo,3.8,11,0,0,0,0,
928,06-Nov,ginkgo,2.5,7,0,0,0,0,
927,06-Nov,ginkgo,2.5,5,0,0,0,0,
918,06-Nov,ginkgo,3.8,12,0,0,0,0,
919,06-Nov,ginkgo,4.1,8,0,0,0,0,
921,06-Nov,ginkgo,4.3,12,0,0,0,0,
921,06-Nov,ginkgo,4.4,13,0,0,0,0,
922,06-Nov,ginkgo,3.8,10,0,0,0,0,
923,06-Nov,ginkgo,3.2,10,0,0,0,0,
932,06-Nov,ginkgo,2.2,7,0,0,0,0,
934,06-Nov,ginkgo,,,,,,,Could not locate/removed
937,06-Nov,ginkgo,3.2,7,0,0,0,0,
936,06-Nov,ginkgo,4.8,12,0,0,0,0,
933,06-Nov,ginkgo,2.9,6,0,0,0,0,
931,06-Nov,ginkgo,3.2,8,0,0,0,0,
924,06-Nov,ginkgo,2.5,9,0,0,0,0,
930,06-Nov,ginkgo,2.6,7,0,0,0,0,
925,06-Nov,ginkgo,2.9,10,0,0,0,0,
929,06-Nov,ginkgo,3.3,8,0,0,0,0,
1358,06-Nov,ginkgo,11.5,14,0,0,0,0,
1352,06-Nov,peapea,9.2,20,0,1,0,0,huge trunk scar/cavity
1353,06-Nov,appcra,8.6,30,0,1,0,0,
1366,06-Nov,peapea,7.6,20,0,0,1,0,
1375,06-Nov,peapea,9.2,20,0,0,1,1,
1376,06-Nov,appcra,8.9,26,0,0,0,1,
1434,06-Nov,lochon,19.1,42,0,0,0,0,
1425,06-Nov,lochon,17.5,45,0,0,0,0,
1421,06-Nov,lochon,16.2,35,0,1,0,0,
1422,06-Nov,lochon,19.75,37,0,1,0,0,
1414,06-Nov,olirus,20.1,28,0,1,0,1,
1446,06-Nov,ginkgo,4.8,11,0,0,0,0,
1447,06-Nov,ginkgo,6,12,0,0,0,0,
1448,06-Nov,ginkgo,6.2,14,0,0,0,0,
1449,06-Nov,ginkgo,4.8,11,0,0,0,0,
572,06-Nov,lochon,2.5,12,0,0,0,0,
1450,06-Nov,ginkgo,5.5,10,0,0,0,0,
1451,06-Nov,ginkgo,5.4,11,0,0,0,0,
585,06-Nov,ginkgo,5.2,,0,0,0,0,
586,06-Nov,ginkgo,4.1,,0,0,0,0,
587,06-Nov,ginkgo,5.3,,0,1,0,0,
588,06-Nov,ginkgo,5.6,,0,1,0,0,
1377,07-Nov,ginkgo,3.25,9,0,0,0,0,
1378,07-Nov,ginkgo,4.1,12,0,0,1,0,
1379,07-Nov,ginkgo,3.2,10,0,0,0,0,
1380,07-Nov,ginkgo,2.6,7,0,0,0,0,
1381,07-Nov,ginkgo,3.4,11,0,0,1,0,
1355,07-Nov,peapea,9.2,24,0,0,0,0,
1356,07-Nov,ginkgo,3.9,12,0,1,0,0,
1357,07-Nov,ginkgo,5.3,13,0,1,0,0,
1362,07-Nov,peapea,10.8,24,0,1,0,0,
1361,07-Nov,ginkgo,6.1,16,0,0,0,0,
1360,07-Nov,ginkgo,4.2,14,0,0,0,1,
1363,07-Nov,peapea,9.8,19,0,0,0,0,
1368,07-Nov,peapea,9.1,25,0,0,0,0,
1359,07-Nov,ginkgo,5.8,28,0,0,1,0,
436,07-Nov,pinaus,17.1,42,0,1,1,0,
434,07-Nov,pinaus,13.1,33,0,1,0,0,
427,07-Nov,pinaus,18.3,34,0,1,1,0,
426,07-Nov,pinaus,17.8,33,0,1,1,0,
308,07-Nov,peapea,3.1,11,0,0,0,0,
307,07-Nov,peapea,2.2,10,0,0,0,0,
304,07-Nov,peapea,,,0,,,,removed/CNL
303,07-Nov,peapea,2.3,9,0,0,0,0,
302,07-Nov,peapea,2.9,9,0,0,0,0,
301,07-Nov,peapea,3.1,9,0,0,0,0,
300,07-Nov,peapea,3,9,0,0,0,0,
319,07-Nov,oakred,6.1,18,0,0,0,0,
320,07-Nov,ginkgo,6.5,15,0,0,0,0,
337,07-Nov,ginkgo,4.25,9,0,1,0,0,
338,07-Nov,ginkgo,3.2,8,0,0,0,0,
339,07-Nov,ginkgo,2.9,9,0,0,0,0,
340,07-Nov,ginkgo,4,9,0,0,0,0,
341,07-Nov,ginkgo,3.5,9,0,0,0,0,
409,07-Nov,appcra,,,,,,,removed/CNL
408,07-Nov,appcra,,,,,,,removed/CNL
407,07-Nov,appcra,,,,,,,removed/CNL
403,07-Nov,appcra,,,,,,,removed/CNL
405,07-Nov,appcra,,,,,,,removed/CNL
387,07-Nov,ginkgo,,,,,,,removed/CNL
386,07-Nov,ginkgo,4.1,10,0,0,0,0,
