Tree_Tag_N,Status,Species_Co,Common_Nam,Genus,Species,Ownership,Location_C,DBH,Number_of_,Percentage,Crown_Widt,Total_Heig,Latitude,Longitude,subway,subway_dist,density_10m
1262,alive,mapred,Red Maple,Acer,rubrum,p,by,23,1,0,11,11,43.771098,-79.497748,out,259.254363,1
1263,alive,mapred,Red Maple,Acer,rubrum,p,by,18.5,1,0,10,11,43.771123,-79.497619,out,252.9483995,1
1264,alive,mapred,Red Maple,Acer,rubrum,p,by,18.4,1,0,10,11,43.771145,-79.497496,out,247.1263738,2
1265,alive,mapred,Red Maple,Acer,rubrum,p,by,16.5,1,0,10,10,43.771176,-79.497373,out,240.3704015,1
1266,alive,mapred,Red Maple,Acer,rubrum,p,by,19.3,1,0,10,10,43.771204,-79.497242,out,233.6955454,1
1816,alive,peapea,Flowering Pear,Pyrus,spp,p,sl,8,1,0,7,2,43.775992,-79.500181,within,177.3650317,3
1527,alive,peapea,Flowering Pear,Pyrus,spp,p,s,9,2,5,4,25,43.7744553,-79.50481186,within,118.3073793,8
375,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,13.4,1,80,5,6,43.77385,-79.502165,within,102.3526952,10
376,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,13.5,1,80,6,5,43.773883,-79.50218,within,99.38544869,10
377,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,17.5,1,80,7,8,43.773894,-79.502129,within,96.74128901,10
379,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,16.1,1,80,7,8,43.773905,-79.50207,within,93.86068737,9
380,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,13.7,1,80,6.5,8,43.773873,-79.502059,within,96.84280039,10
381,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,15.4,1,80,6,8,43.773915,-79.502017,within,91.26076419,10
382,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,16.8,1,80,6,8,43.773887,-79.502006,within,93.82947373,9
383,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,4.6,1,80,9,3,43.773924,-79.50196,within,88.64596908,10
384,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,17.4,1,80,1,8,43.773896,-79.501952,within,91.30334274,10
385,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,14.2,1,80,6,7.5,43.773937,-79.501906,within,85.70643503,10
386,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,14.7,1,80,9,7.5,43.773911,-79.5019,within,88.21621697,10
388,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,15.6,1,80,6,8,43.77395,-79.501855,within,82.85556463,8
389,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,18.4,1,80,9,7.5,43.773929,-79.501788,within,83.08121799,10
390,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,16.7,1,80,5,9,43.77396,-79.501803,within,80.3039844,9
391,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,17.6,1,80,5,8,43.773971,-79.501739,within,77.30617217,10
392,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,18,1,80,6,8,43.77394,-79.501731,within,80.28660508,8
393,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,19.3,1,80,7,8,43.773978,-79.501685,within,75.01318138,7
394,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,18.8,1,80,9,8,43.773953,-79.501675,within,77.31375011,8
395,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,18.1,1,80,8,8,43.773996,-79.501633,within,71.63826939,9
396,alive,peapea,Flowering Pear,Pyrus,spp,p,fy,18.4,1,80,9,8,43.773968,-79.501622,within,74.22071098,10
